i_STAGE	i_REWARD_1	i_REWARD_1_VALUE	i_REWARD_2	i_REWARD_2_VALUE	i_REWARD_3	i_REWARD_3_VALUE	i_UNLOCK_ID
1	400	5	401	1	-1	-1	-1
2	400	5	402	1	-1	-1	201
3	400	5	403	1	-1	-1	-1
4	400	5	401	1	-1	-1	202
5	400	5	402	1	-1	-1	-1
6	400	5	403	1	-1	-1	203
7	400	5	-1	-1	-1	-1	-1
8	400	5	-1	-1	-1	-1	-1
9	400	5	-1	-1	-1	-1	-1
10	400	30	401	1	402	1	-1
11	400	10	-1	-1	-1	-1	-1
12	400	10	-1	-1	-1	-1	-1
13	400	10	403	1	-1	-1	-1
14	400	10	-1	-1	-1	-1	-1
15	400	10	-1	-1	-1	-1	-1
16	400	10	401	1	-1	-1	-1
17	400	10	-1	-1	-1	-1	-1
18	400	10	-1	-1	-1	-1	-1
19	400	10	-1	-1	-1	-1	-1
20	400	80	402	1	403	1	-1
21	400	30	-1	-1	-1	-1	-1
22	400	30	-1	-1	-1	-1	-1
23	400	30	401	2	-1	-1	-1
24	400	30	-1	-1	-1	-1	-1
25	400	30	-1	-1	-1	-1	-1
26	400	30	-1	-1	-1	-1	-1
27	400	30	402	2	-1	-1	-1
28	400	30	-1	-1	-1	-1	-1
29	400	30	-1	-1	-1	-1	-1
30	400	100	401	1	403	2	-1
31	400	50	-1	-1	-1	-1	-1
32	400	50	-1	-1	-1	-1	-1
33	400	50	-1	-1	-1	-1	-1
34	400	50	403	2	-1	-1	-1
35	400	50	-1	-1	-1	-1	-1
36	400	50	-1	-1	-1	-1	-1
37	400	50	403	1	-1	-1	-1
38	400	50	-1	-1	-1	-1	-1
39	400	50	-1	-1	-1	-1	-1
40	400	200	403	3	-1	-1	204
41	400	100	-1	-1	-1	-1	-1
42	400	100	401	1	-1	-1	-1
43	400	150	-1	-1	-1	-1	-1
44	400	150	401	2	-1	-1	-1
45	400	150	-1	-1	-1	-1	-1
46	400	200	-1	-1	-1	-1	-1
47	400	200	402	2	-1	-1	-1
48	400	300	-1	-1	-1	-1	-1
49	400	400	-1	-1	-1	-1	-1
50	400	500	402	3	403	3	-1
