i_LINE_ID	i_EXAM_NUM	s_EXAM_MANUAL	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	f_APPEARTIME	f_SPEED_VALUE
1	3	0/0/0/0/0	0	0	1	5
2	4	0/0/0/0/0	0	0	3	5
3	2	0/0/0/0/0	0	0	5	5
4	8	0/0/0/0/0	0	0	6	5
5	6	0/0/0/0/0	0	0	8	6
6	9	0/0/0/0/0	0	0	9	5
7	23	0/0/0/0/0	0	0	11	5
8	12	0/0/0/0/0	0	0	13	5
9	15	0/0/0/0/0	0	0	14	7
10	0	1/3/4/5/11	0	0	16	4
11	19	0/0/0/0/0	0	0	17	5
12	24	0/0/0/0/0	0	0	19	5
13	0	43/25/77/0/0	0	0	20	5
14	30	0/0/0/0/0	0	0	22	5
15	20	0/0/0/0/0	0	0	23	5
16	0	0/0/0/0/0	1	9	25	3
17	37	0/0/0/0/0	0	0	26	6
18	53	0/0/0/0/0	0	0	28	5
19	27	0/0/0/0/0	0	0	30	5
20	24	0/0/0/0/0	0	0	21	5
21	0	0/0/0/0/0	35	48	33	6
22	9	0/0/0/0/0	0	0	35	7
23	0	0/0/0/0/0	0	0	36	8
24	0	0/0/0/0/0	0	0	38	9
25	81	0/0/0/0/0	0	0	39	0
