i_LINE_ID	i_EXAM_NUM	i_EXAM_MANUAL_1	i_EXAM_MANUAL_2	i_EXAM_MANUAL_3	i_EXAM_MANUAL_4	i_EXAM_MANUAL_5	i_EXAM_FTRANDOM_MIN	i_EXAM_FTRANDOM_MAX	s_APPEARTIME	f_SPEED_VALUE
1	-1	1	33	55	-1	-1	-1	-1	00/01/30	31
2	24	-1	-1	-1	-1	-1	-1	-1	00/04/00	29
3	-1	16	18	36	-1	-1	-1	-1	00/08/00	33
4	1	-1	-1	-1	-1	-1	-1	-1	00/12/00	15
5	0	-1	-1	-1	-1	-1	-1	-1	00/18/00	15
6	8	-1	-1	-1	-1	-1	-1	-1	00/23/00	29
7	-1	1	3	5	6	-1	-1	-1	00/26/00	29
8	63	-1	-1	-1	-1	-1	-1	-1	00/30/00	31
9	-1	48	56	27	-1	-1	-1	-1	00/35/00	35
10	-1	-1	-1	-1	-1	-1	12	56	00/38/00	40
11	5	-1	-1	-1	-1	-1	-1	-1	00/42/00	36
12	7	-1	-1	-1	-1	-1	-1	-1	00/45/00	36
13	-1	10	15	20	-1	-1	-1	-1	00/50/00	33
14	-1	56	7	32	27	24	-1	-1	00/55/00	32
15	72	-1	-1	-1	-1	-1	-1	-1	00/60/00	29
